Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
2009-02-14,2009,Waterbury,99470,186000,Single Family,Detached House,3,3,1024,1.025953,East
2009-02-15,2009,Waterbury,49000,129900,Single Family,Detached House,3,1,1092,1.025953,South
2009-02-15,2009,Waterbury,75180,115000,Three Family,Triplex,6,4,2196,1.025953,West
2009-02-15,2009,Waterbury,159180,240000,?,Detached House,3,2,928,1.025953,East
2009-02-16,2009,Norwalk,,640000,Single Family,Detached House,3,3,1002,1.025953,South
2009-02-16,2009,,179830,319000,Single Family,Detached House,3,3,928,1.025953,North
2009-02-16,2009,Bridgeport,115430,261000,Single Family,Detached House,3,1,910,1.025953,South
2009-02-20,2009,,93520,135000,Two Family,Duplex,4,4,1494,1.025953,West
2009-02-20,2009,Fairfield,302820,392500,Single Family,Detached House,3,1,1059,1.025953,West
2009-02-20,2009,Norwalk,724240,1160000,Single Family,Detached House,3,2,929,1.025953,West
2009-02-20,2009,Waterbury,57820,135000,Single Family,Detached House,3,2,909,1.025953,North
2009-02-20,2009,Fairfield,3416770,5650000,Single Family,Detached House,3,3,1005,1.025953,West
2009-02-21,2009,Waterbury,47050,96400,Single Family,Detached House,3,1,913,1.025953,West
2009-02-21,2009,Greenwich,653450,1250000,Single Family,Detached House,3,2,932,1.025953,South
2009-02-21,2009,Waterbury,62300,139900,Single Family,Detached House,3,3,909,1.025953,North
2009-02-21,2009,Bridgeport,146510,314000,?,Detached House,3,3,1026,1.025953,East
2009-02-21,2009,Fairfield,669200,925000,Single Family,Detached House,3,3,900,1.025953,North
2009-02-22,2009,Fairfield,346360,550000,?,Detached House,3,2,925,1.025953,West
2009-02-22,2009,Bridgeport,,42500,Two Family,Duplex,4,4,1382,1.025953,East
2009-02-22,2009,Norwalk,,417000,?,Detached House,3,1,975,1.025953,West
2009-02-23,2009,Greenwich,450940,721900,Single Family,Detached House,3,3,1019,1.025953,East
2009-02-27,2009,Fairfield,424270,190000,Single Family,Detached House,3,1,1056,1.025953,East
2009-02-28,2009,Fairfield,333620,430000,Single Family,Detached House,3,2,1015,1.025953,West
2009-02-28,2009,Waterbury,,174000,Single Family,Detached House,3,1,1031,1.025953,East
2009-03-01,2009,,140000,233000,Single Family,Detached House,3,1,,1.025953,North
2009-03-01,2009,Norwalk,281400,573000,Single Family,Detached House,3,2,1099,1.025953,West
2009-03-01,2009,Bridgeport,,127550,Single Family,Detached House,3,1,941,1.025953,East
2009-03-02,2009,Waterbury,,144000,?,Detached House,3,2,963,1.025953,East
2009-03-02,2009,Bridgeport,134121,347500,Single Family,Detached House,3,2,955,1.025953,North
2009-03-02,2009,Fairfield,348950,480000,?,Detached House,3,1,,1.025953,South
2009-03-02,2009,Bridgeport,69370,190000,Single Family,Detached House,3,2,,1.025953,South
2009-03-05,2009,Bridgeport,96600,183000,Two Family,Duplex,4,3,1426,1.025953,East
2009-03-05,2009,Bridgeport,105700,248000,Single Family,Detached House,3,3,1057,1.025953,East
2009-03-05,2009,Waterbury,55510,130000,Three Family,Triplex,6,5,2003,1.025953,North
2009-03-05,2009,Norwalk,256060,327000,Single Family,Detached House,3,1,958,1.025953,South
2009-03-06,2009,Waterbury,98910,245000,Single Family,Detached House,3,2,998,1.025953,East
2009-03-06,2009,Bridgeport,,276000,Two Family,Duplex,4,3,1386,1.025953,South
2009-03-06,2009,Greenwich,2051980,3300000,Single Family,Detached House,3,2,943,1.025953,South
2009-03-07,2009,Bridgeport,126070,271000,Single Family,Detached House,3,1,1052,1.025953,West
2009-03-07,2009,Bridgeport,112210,325000,Two Family,Duplex,4,4,1400,1.025953,North
2009-03-08,2009,Greenwich,,4100000,Single Family,Detached House,3,2,1068,1.025953,West
2009-03-08,2009,Greenwich,2108820,150000,Single Family,Detached House,3,2,1038,1.025953,South
2009-03-09,2009,Bridgeport,102690,150000,Single Family,Detached House,3,3,,1.025953,East
2009-03-09,2009,Fairfield,1232420,2200000,Single Family,Detached House,3,3,923,1.025953,East
2009-03-12,2009,,774410,960000,?,Detached House,3,1,,1.025953,East
2009-03-12,2009,Norwalk,287070,585000,Single Family,Detached House,3,3,919,1.025953,East
2009-03-12,2009,Bridgeport,,159000,Single Family,Detached House,3,2,,1.025953,North
2009-03-12,2009,Waterbury,,148000,Single Family,Detached House,3,2,1008,1.025953,West
2009-03-12,2009,Fairfield,350350,390000,?,Detached House,3,2,936,1.025953,West
2009-03-12,2009,Bridgeport,78890,189000,Two Family,Duplex,4,3,1249,1.025953,South
2009-03-13,2009,Bridgeport,,153000,Single Family,Detached House,3,1,,1.025953,North
2009-03-13,2009,Waterbury,53830,174900,Single Family,Detached House,3,3,1048,1.025953,South
2009-03-14,2009,Waterbury,72450,176130,Single Family,Detached House,3,3,1039,1.025953,East
2009-03-14,2009,Waterbury,71610,168000,Single Family,Detached House,3,1,910,1.025953,West
2009-03-14,2009,Norwalk,226730,430000,?,Detached House,3,3,1005,1.025953,North
2009-03-15,2009,Waterbury,62930,159000,?,Detached House,3,3,1041,1.025953,North
2009-03-15,2009,Waterbury,78750,174000,Single Family,Detached House,3,1,1011,1.025953,East
2009-03-16,2009,Greenwich,4234650,6537500,Single Family,Detached House,3,3,1082,1.025953,North
2009-03-16,2009,Fairfield,328090,350000,Single Family,Detached House,3,1,963,1.025953,East
2009-03-19,2009,Norwalk,,500000,Single Family,Detached House,3,2,922,1.025953,North
2009-03-19,2009,Bridgeport,99960,226600,Single Family,Detached House,3,1,919,1.025953,West
2009-03-19,2009,Norwalk,358470,705000,?,Detached House,3,3,,1.025953,East
2009-03-19,2009,Greenwich,4012050,6490000,Single Family,Detached House,3,3,942,1.025953,North
2009-03-19,2009,Waterbury,78120,164000,Single Family,Detached House,3,1,1027,1.025953,South
2009-03-19,2009,Waterbury,55860,148847,Two Family,Duplex,4,2,1339,1.025953,East
2009-03-20,2009,Bridgeport,,42500,?,Detached House,3,2,1100,1.025953,West
2009-03-22,2009,Waterbury,73640,189000,Single Family,Detached House,3,2,,1.025953,West
2009-03-22,2009,Bridgeport,124670,365000,Two Family,Duplex,4,4,,1.025953,West
2009-03-22,2009,Bridgeport,,251200,Single Family,Detached House,3,3,1026,1.025953,North
2009-03-23,2009,Waterbury,62230,187000,Three Family,Triplex,6,5,2103,1.025953,South
2009-03-23,2009,,2120860,3187900,Single Family,Detached House,3,2,944,1.025953,North
2009-03-26,2009,Waterbury,47950,110000,Two Family,Duplex,4,4,1306,1.025953,East
2009-03-26,2009,Greenwich,1418480,2125000,Single Family,Detached House,3,3,,1.025953,South
2009-03-26,2009,Fairfield,294910,439000,Single Family,Detached House,3,1,910,1.025953,East
2009-03-26,2009,Waterbury,67620,137695,?,Detached House,3,2,905,1.025953,West
2009-03-27,2009,,84210,214000,Single Family,Detached House,3,2,1083,1.025953,North
2009-03-27,2009,Waterbury,75460,163850,?,Detached House,3,1,1097,1.025953,East
2009-03-28,2009,Norwalk,353430,604500,Single Family,Detached House,3,2,,1.025953,East
2009-03-28,2009,Waterbury,61530,162500,Single Family,Detached House,3,2,1050,1.025953,West
2009-03-28,2009,Fairfield,541030,750000,?,Detached House,3,3,1079,1.025953,North
2009-03-28,2009,Fairfield,372750,635000,Single Family,Detached House,3,1,1085,1.025953,West
2009-03-28,2009,,105070,245000,?,Triplex,6,6,2122,1.025953,South
2009-03-29,2009,Bridgeport,194580,550000,Single Family,Detached House,3,2,1071,1.025953,North
2009-03-29,2009,Norwalk,234010,467500,Single Family,Detached House,3,1,1027,1.025953,East
2009-03-29,2009,Waterbury,74830,160000,Single Family,Detached House,3,1,1050,1.025953,West
2009-03-29,2009,,123550,290000,Two Family,Duplex,4,3,1458,1.025953,North
2009-03-29,2009,Bridgeport,,300000,Single Family,Detached House,3,1,968,1.025953,North
2009-03-29,2009,Waterbury,85960,159900,Single Family,Detached House,3,1,956,1.025953,West
2009-03-30,2009,Greenwich,1089270,1865000,Single Family,Detached House,3,2,1097,1.025953,East
2009-03-30,2009,Greenwich,1551410,2390000,Single Family,Detached House,3,2,974,1.025953,North
2009-03-30,2009,Fairfield,375200,599500,Single Family,Detached House,3,2,1020,1.025953,North
2009-03-30,2009,Fairfield,399770,550000,Single Family,Detached House,3,3,,1.025953,West
2009-03-30,2009,,1243200,1956000,Single Family,Detached House,3,2,1088,1.025953,East
2009-03-30,2009,Norwalk,389410,630000,Single Family,Detached House,3,1,1016,1.025953,West
2009-03-30,2009,Waterbury,104370,210000,?,Detached House,3,1,1074,1.025953,South
2009-03-30,2009,Norwalk,296800,676000,Single Family,Detached House,3,2,1077,1.025953,West
2009-03-30,2009,Greenwich,1552810,2950000,Single Family,Detached House,3,2,1058,1.025953,West
2009-04-02,2009,Waterbury,104160,269900,?,Duplex,4,4,1349,1.025953,West
2009-04-02,2009,Norwalk,240870,439000,Single Family,Detached House,3,1,990,1.025953,East
2009-04-02,2009,Waterbury,107100,250000,?,Detached House,3,2,,1.025953,South
2009-04-02,2009,Fairfield,487060,520000,Single Family,Detached House,3,3,1033,1.025953,East
2009-04-03,2009,Greenwich,726880,1100000,?,Duplex,4,2,1236,1.025953,West
2009-04-03,2009,Norwalk,255710,462000,?,Detached House,3,1,1022,1.025953,West
2009-04-03,2009,Norwalk,417130,705000,Single Family,Detached House,3,2,1042,1.025953,South
2009-04-03,2009,Greenwich,1502130,2050000,Single Family,Detached House,3,3,,1.025953,East
2009-04-03,2009,Fairfield,387170,515000,Single Family,Detached House,3,3,1093,1.025953,West
2009-04-04,2009,Waterbury,101430,329000,Three Family,Triplex,6,6,2019,1.025953,North
2009-04-05,2009,Waterbury,,165000,Three Family,Triplex,6,4,2161,1.025953,North
2009-04-05,2009,,699650,500000,?,Detached House,3,2,1038,1.025953,West
2009-04-05,2009,Waterbury,59570,142000,?,Detached House,3,2,928,1.025953,East
2009-04-05,2009,Bridgeport,42420,52000,Two Family,Duplex,4,2,1372,1.025953,South
2009-04-09,2009,,,62750,Single Family,Detached House,3,3,967,1.025953,South
2009-04-09,2009,Greenwich,5630730,7000000,Single Family,Detached House,3,2,999,1.025953,North
2009-04-09,2009,Waterbury,63070,192500,?,Detached House,3,2,1021,1.025953,South
2009-04-09,2009,Norwalk,262990,545000,?,Detached House,3,3,1090,1.025953,North
2009-04-09,2009,,77280,239900,Two Family,Duplex,4,3,1322,1.025953,North
2009-04-10,2009,Bridgeport,132021,440000,?,Fourplex,8,7,2528,1.025953,North
2009-04-10,2009,,103250,167500,Single Family,Detached House,3,1,1066,1.025953,South
2009-04-10,2009,Bridgeport,,185000,?,Detached House,3,3,970,1.025953,East
2009-04-10,2009,Norwalk,242690,110000,?,Duplex,4,2,1444,1.025953,West
2009-04-11,2009,Waterbury,88340,148500,Single Family,Detached House,3,2,1042,1.025953,East
2009-04-11,2009,Greenwich,634200,860000,Single Family,Detached House,3,3,1083,1.025953,North
2009-04-11,2009,Bridgeport,72030,233000,Single Family,Detached House,3,3,,1.025953,West
2009-04-11,2009,Greenwich,402430,670000,Single Family,Detached House,3,2,955,1.025953,South
2009-04-13,2009,Norwalk,180670,405000,?,Detached House,3,1,967,1.025953,North
2009-04-13,2009,Fairfield,254450,343000,Single Family,Detached House,3,1,942,1.025953,South
2009-04-13,2009,,107660,319000,Two Family,Duplex,4,3,1248,1.025953,North
2009-04-16,2009,Waterbury,71680,129900,Single Family,Detached House,3,2,1003,1.025953,South
2009-04-16,2009,Waterbury,69300,173000,Single Family,Detached House,3,3,902,1.025953,North
2009-04-17,2009,,171640,329960,Single Family,Detached House,3,3,1039,1.025953,North
2009-04-17,2009,Norwalk,,700100,?,Detached House,3,1,949,1.025953,West
2009-04-17,2009,Fairfield,521150,670000,Single Family,Detached House,3,1,996,1.025953,North
2009-04-17,2009,Bridgeport,87570,216750,Single Family,Detached House,3,1,978,1.025953,North
2009-04-18,2009,,45430,126000,Single Family,Detached House,3,1,961,1.025953,North
2009-04-18,2009,Bridgeport,71680,164000,Single Family,Detached House,3,1,1054,1.025953,South
2009-04-19,2009,Bridgeport,132580,262000,Single Family,Detached House,3,1,1008,1.025953,South
2009-04-20,2009,Waterbury,89950,186000,Single Family,Detached House,3,2,1086,1.025953,South
2009-04-23,2009,Greenwich,479430,1125000,Single Family,Detached House,3,2,,1.025953,South
2009-04-24,2009,Norwalk,248360,455000,Single Family,Detached House,3,1,1023,1.025953,North
2009-04-24,2009,Bridgeport,,212500,Single Family,Detached House,3,2,1095,1.025953,North
2009-04-25,2009,Bridgeport,60831,140000,Single Family,Detached House,3,3,1061,1.025953,North
2009-04-26,2009,Greenwich,1227660,2850000,Single Family,Detached House,3,3,981,1.025953,South
2009-04-27,2009,Bridgeport,108920,252000,Two Family,Duplex,4,3,1364,1.025953,West
2009-04-30,2009,Bridgeport,104952,225000,Single Family,Detached House,3,1,979,1.025953,South
2009-04-30,2009,,1183700,4675000,Single Family,Detached House,3,3,1003,1.025953,West
2009-04-30,2009,Fairfield,243390,365000,Single Family,Detached House,3,1,937,1.025953,East
2009-04-30,2009,Bridgeport,180460,350000,Single Family,Detached House,3,2,1076,1.025953,East
2009-04-30,2009,Norwalk,297780,570000,Single Family,Detached House,3,2,976,1.025953,West
2009-05-01,2009,,427420,610000,Single Family,Detached House,3,3,955,1.025953,East
2009-05-01,2009,,80150,160000,Single Family,Detached House,3,3,954,1.025953,North
2009-05-01,2009,Waterbury,99470,235000,Single Family,Detached House,3,2,1020,1.025953,North
2009-05-01,2009,,65520,152000,Single Family,Detached House,3,3,1011,1.025953,North
2009-05-01,2009,Greenwich,,2515000,Single Family,Detached House,3,2,914,1.025953,West
2009-05-01,2009,Waterbury,44170,97000,Three Family,Triplex,6,4,2036,1.025953,East
2009-05-01,2009,Bridgeport,,352000,?,Detached House,3,3,913,1.025953,North
2009-05-01,2009,Fairfield,273700,456100,Single Family,Detached House,3,3,1095,1.025953,North
2009-05-01,2009,Waterbury,57470,143400,?,Detached House,3,3,996,1.025953,North
2009-05-02,2009,Fairfield,343280,455000,Single Family,Detached House,3,3,978,1.025953,South
2009-05-02,2009,Norwalk,384440,722500,Single Family,Detached House,3,1,1096,1.025953,South
2009-05-03,2009,Norwalk,176400,350000,Single Family,Detached House,3,3,946,1.025953,East
2009-05-03,2009,Fairfield,1064840,1550000,Single Family,Detached House,3,2,1015,1.025953,West
2009-05-04,2009,Fairfield,1004920,1275000,Single Family,Detached House,3,1,1026,1.025953,South
2009-05-04,2009,Fairfield,2368170,1775000,Single Family,Detached House,3,2,1016,1.025953,East
2009-05-07,2009,Bridgeport,115431,87637,Single Family,Detached House,3,2,1091,1.025953,West
2009-05-07,2009,Bridgeport,104580,226000,Single Family,Detached House,3,2,1078,1.025953,North
2009-05-07,2009,Waterbury,,155000,Single Family,Detached House,3,1,973,1.025953,West
2009-05-08,2009,Fairfield,1455300,2500000,Single Family,Detached House,3,3,1071,1.025953,North
2009-05-08,2009,Norwalk,447510,600000,Single Family,Detached House,3,2,1027,1.025953,South
2009-05-09,2009,Norwalk,293370,521000,Single Family,Detached House,3,2,935,1.025953,North
2009-05-09,2009,Greenwich,,6000000,Single Family,Detached House,3,2,947,1.025953,North
2009-05-10,2009,Bridgeport,161210,335000,Single Family,Detached House,3,1,920,1.025953,South
2009-05-10,2009,Fairfield,2031120,4450000,Single Family,Detached House,3,2,915,1.025953,South
2009-05-10,2009,Greenwich,595210,1100000,Single Family,Detached House,3,2,1072,1.025953,South
2009-05-11,2009,Greenwich,2488920,4995000,Single Family,Detached House,3,3,957,1.025953,West
2009-05-11,2009,Waterbury,33600,228000,Single Family,Detached House,3,2,1002,1.025953,North
2009-05-11,2009,,121373,344900,Two Family,Duplex,4,4,1364,1.025953,South
2009-05-11,2009,Waterbury,70350,176500,Single Family,Detached House,3,2,1085,1.025953,South
2009-05-14,2009,Norwalk,508060,865000,Single Family,Detached House,3,1,1089,1.025953,East
2009-05-14,2009,Bridgeport,118020,199000,Single Family,Detached House,3,1,1057,1.025953,East
2009-05-14,2009,Waterbury,91350,236000,Two Family,Duplex,4,2,1387,1.025953,North
2009-05-14,2009,Fairfield,552720,960000,Single Family,Detached House,3,3,,1.025953,North
2009-05-15,2009,,,6632000,?,Detached House,3,1,1086,1.025953,West
2009-05-15,2009,Bridgeport,196980,478000,Single Family,Detached House,3,2,1100,1.025953,North
2009-05-15,2009,Greenwich,,3595000,Single Family,Detached House,3,3,1010,1.025953,West
2009-05-16,2009,Waterbury,69020,125000,?,Triplex,6,5,1827,1.025953,West
2009-05-17,2009,Waterbury,46340,99000,Single Family,Detached House,3,1,1085,1.025953,South
2009-05-17,2009,Waterbury,3990,15000,Single Family,Detached House,3,1,957,1.025953,East
2009-05-17,2009,Bridgeport,150010,315000,Two Family,Duplex,4,3,1469,1.025953,East
2009-05-17,2009,Norwalk,290430,550000,Single Family,Detached House,3,2,983,1.025953,North
2009-05-18,2009,,553560,810000,Single Family,Detached House,3,1,1012,1.025953,South
2009-05-18,2009,Waterbury,78750,209900,Three Family,Triplex,6,5,2180,1.025953,East
2009-05-18,2009,Waterbury,53480,235000,Three Family,Triplex,6,5,2176,1.025953,East
2009-05-18,2009,Waterbury,58450,159000,Single Family,Detached House,3,2,965,1.025953,East
2009-05-18,2009,,603610,1000075,Single Family,Detached House,3,3,976,1.025953,South
2009-05-21,2009,Fairfield,832440,1330000,Single Family,Detached House,3,1,,1.025953,South
2009-05-23,2009,Bridgeport,160860,329800,Single Family,Detached House,3,3,909,1.025953,East
2009-05-24,2009,Norwalk,286226,679000,Single Family,Detached House,3,1,925,1.025953,North
2009-05-24,2009,Bridgeport,98140,196000,Two Family,Duplex,4,4,1283,1.025953,East
2009-05-25,2009,Waterbury,104860,191250,Single Family,Detached House,3,3,1086,1.025953,South
2009-05-25,2009,Norwalk,217980,400000,Single Family,Detached House,3,3,989,1.025953,West
2009-05-29,2009,Waterbury,83650,145000,Single Family,Detached House,3,1,1088,1.025953,West
2009-05-29,2009,,1304800,2030000,Single Family,Detached House,3,1,1055,1.025953,North
2009-05-30,2009,,457310,790000,Single Family,Detached House,3,1,950,1.025953,North
2009-05-31,2009,Fairfield,640010,950000,Single Family,Detached House,3,2,947,1.025953,West
2009-05-31,2009,Greenwich,,1240000,Single Family,Detached House,3,3,977,1.025953,East
2009-05-31,2009,Greenwich,3764810,5800000,Single Family,Detached House,3,2,1045,1.025953,East
2009-05-31,2009,Greenwich,1847020,1900000,Single Family,Detached House,3,3,1061,1.025953,North
2009-06-01,2009,Fairfield,261240,379900,Single Family,Detached House,3,3,933,1.025953,South
2009-06-01,2009,Greenwich,543550,950000,Single Family,Detached House,3,2,939,1.025953,South
2009-06-01,2009,Norwalk,718830,625000,Single Family,Detached House,3,3,1036,1.025953,South
2009-06-04,2009,Bridgeport,,241000,Three Family,Triplex,6,6,,1.025953,North
2009-06-04,2009,,93950,107500,Two Family,Duplex,4,2,1247,1.025953,West
2009-06-04,2009,Bridgeport,156730,355000,Two Family,Duplex,4,4,1372,1.025953,East
2009-06-04,2009,,72030,165000,?,Detached House,3,3,1083,1.025953,East
2009-06-05,2009,,177450,472000,?,Detached House,3,2,948,1.025953,South
2009-06-06,2009,Bridgeport,139090,288400,Single Family,Detached House,3,3,1022,1.025953,West
2009-06-06,2009,Bridgeport,102340,265000,Single Family,Detached House,3,3,1099,1.025953,North
2009-06-07,2009,Bridgeport,134330,257000,Two Family,Duplex,4,2,,1.025953,North
2009-06-07,2009,Bridgeport,95130,184000,Two Family,Duplex,4,4,1307,1.025953,South
2009-06-07,2009,Greenwich,1480990,3399000,?,Detached House,3,3,1073,1.025953,North
2009-06-07,2009,Greenwich,3980690,8000000,Single Family,Detached House,3,3,1085,1.025953,North
2009-06-07,2009,Waterbury,70630,220000,Three Family,Triplex,6,4,1951,1.025953,North
2009-06-07,2009,Waterbury,55720,72000,Three Family,Triplex,6,6,2010,1.025953,South
2009-06-08,2009,Fairfield,312060,385000,?,Detached House,3,3,996,1.025953,North
2009-06-08,2009,,114310,235000,Two Family,Duplex,4,4,1294,1.025953,East
2009-06-08,2009,Bridgeport,,225000,Single Family,Detached House,3,1,,1.025953,West
2009-06-08,2009,Bridgeport,275521,875000,Single Family,Detached House,3,1,,1.025953,South
2009-06-08,2009,Bridgeport,124880,175000,Three Family,Triplex,6,6,2049,1.025953,North
2009-06-08,2009,Bridgeport,100240,200000,Single Family,Detached House,3,3,1072,1.025953,East
2009-06-11,2009,Bridgeport,128451,370000,Two Family,Duplex,4,4,1398,1.025953,West
2009-06-11,2009,Greenwich,1559320,2400000,Single Family,Detached House,3,3,942,1.025953,South
2009-06-11,2009,Waterbury,67970,185000,Single Family,Detached House,3,3,1095,1.025953,South
2009-06-12,2009,Bridgeport,66380,190000,Single Family,Detached House,3,2,987,1.025953,North
2009-06-12,2009,Norwalk,32760,90005,Single Family,Detached House,3,3,956,1.025953,North
2009-06-12,2009,Norwalk,,648000,Single Family,Detached House,3,3,929,1.025953,East
